phone number (html),first date,last date,name (vcf),phone number (vcf),match length,path,file size,media size
+00000000000,2011-10-27T22:07:36.000Z,2012-03-17T18:16:32.000Z,,,,"out/+00000000000/2011-10-27T22_07_36 +00000000000.html",9298,1528352
+12025550149,2020-07-08T23:30:11.000Z,2020-07-08T23:44:30.519Z,"Jesse Hilll",+12025550149,12,"out/+12025550149/2020-07-08T23_30_11 +12025550149.html",3680,943970
+13035550192,2019-11-05T11:34:23.000Z,2019-11-05T11:34:55.786Z,"Anne Hartmann's Shop",+13035550192,12,"out/+13035550192/2019-11-05T11_34_23 +13035550192.html",3684,645
+14045550102,2019-03-01T16:28:19.000Z,2021-05-04T21:43:05.000Z,,,,"out/+14045550102/2019-03-01T16_28_19 +14045550102.html",4767,54246
+15185550143,2020-08-22T13:19:57.000Z,2020-08-22T13:19:57.565Z,"Lloyd Gusikowski",+15185550143,12,"out/+15185550143/2020-08-22T13_19_57 +15185550143.html",3381,1320677
+16055550153,2022-03-09T08:13:29.000Z,2022-03-09T08:15:28.150Z,,,,"out/+16055550153/2022-03-09T08_13_29 +16055550153.html",4569,3140048
+17015550147,2022-03-09T08:00:32.000Z,2022-03-09T08:03:00.000Z,"Damian Monahan",7015550147,10,"out/+17015550147/2022-03-09T08_00_32 +17015550147.html",6073,2069190
+17855550115,2021-04-01T16:27:55.000Z,2022-03-09T08:34:25.000Z,,,,"out/+17855550115/2021-04-01T16_27_55 +17855550115.html",5581,0
+12075550182,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+12085550145,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+12255550160,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+13025550173,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+13035550182,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+13075550162,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+14045550167,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Angie Mueller IV",+14045550167,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+14105550126,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,"Cheyanne Auer",+14105550126,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+15025550108,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
+15125550120,2017-02-04T18:40:16.000Z,2017-02-04T07:18:45.842Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7144,540838
