phone number (html),first date,last date,name (vcf),phone number (vcf),match length,path,file size,media size
174074978,2021-03-31T20:32:17.000Z,2021-03-31T20:32:17.000Z,"Candice Cremin",+19174074978,9,"out/174074978/2021-03-31T21_32_17 174074978.html",3349,0
+00000000000,2011-10-27T22:07:36.000Z,2012-03-17T18:16:32.000Z,,,,"out/+00000000000/2011-10-27T23_07_36 +00000000000.html",9301,1528352
+12025550130,2021-12-11T18:20:31.000Z,2021-12-11T18:20:31.000Z,"Charity Murray",+12025550130,12,"out/+12025550130/2021-12-11T18_20_31 +12025550130.html",3433,0
+12025550149,2020-07-08T23:30:11.000Z,2020-07-08T23:30:11.000Z,"Jesse Hilll",+12025550149,12,"out/+12025550149/2020-07-09T00_30_11 +12025550149.html",3695,943970
+13035550192,2019-11-05T11:34:23.000Z,2019-11-05T11:34:23.000Z,"Anne Hartmann",+13035550192,12,"out/+13035550192/2019-11-05T11_34_23 +13035550192.html",3692,2229
+14016660192,2018-04-01T16:28:19.000Z,2018-04-01T16:28:19.000Z,,,,"out/+14016660192/2018-04-01T17_28_19 +14016660192.html",3420,0
+14045550102,2021-05-04T21:43:05.000Z,2021-05-04T21:43:05.000Z,,,,"out/+14045550102/2021-05-04T22_43_05 +14045550102.html",4258,54246
+14065550172,2020-10-27T04:45:56.000Z,2020-10-27T04:45:56.000Z,,,,"out/+14065550172/2020-10-27T04_45_56 +14065550172.html",3354,0
+15185550143,2020-08-22T13:19:57.000Z,2020-08-22T13:19:57.000Z,"Lloyd Gusikowski",+15185550143,12,"out/+15185550143/2020-08-22T14_19_57 +15185550143.html",3382,1320677
+16055550153,2022-03-09T08:13:29.000Z,2022-03-09T08:13:29.000Z,,,,"out/+16055550153/2022-03-09T08_13_29 +16055550153.html",4556,3140048
+17015550147,2022-03-09T08:00:32.000Z,2022-03-09T08:03:00.000Z,"Damian Monahan",7015550147,10,"out/+17015550147/2022-03-09T08_00_32 +17015550147.html",6060,2069190
+17015550194,2021-12-11T18:20:31.000Z,2021-12-11T18:20:31.000Z,"Mariela Roberts",+17015550194,12,"out/+17015550194/2021-12-11T18_20_31 +17015550194.html",3434,0
+17855550115,2021-04-01T16:27:55.000Z,2022-03-09T08:34:25.000Z,,,,"out/+17855550115/2021-04-01T17_27_55 +17855550115.html",5601,0
+18085550103,2021-04-01T16:28:19.000Z,2021-04-01T16:28:19.000Z,,,,"out/+18085550103/2021-04-01T17_28_19 +18085550103.html",3420,0
+12075550182,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+12085550145,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+12255550160,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+13025550173,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+13035550182,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+13075550162,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+14045550167,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"Angie Mueller IV",+14045550167,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+14105550126,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"Cheyanne Auer",+14105550126,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+15025550108,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+15125550120,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+15155550117,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"Beatrice Ruecker",+15155550117,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+15185550143,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"Lloyd Gusikowski",+15185550143,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+16035550142,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+16145550177,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+16175550151,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+17015550194,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"Mariela Roberts",+17015550194,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+17755550174,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,,,,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+18035550193,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"John Doe",+18035550193,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+18435550199,2017-02-04T18:40:16.000Z,2017-02-04T18:40:16.000Z,"Royal Jones",+18435550199,12,"out/Group Conversation 1/2017-02-04T18_40_16 Group Conversation 1.html",7177,540838
+17175550148,2017-03-04T07:18:27.000Z,2017-03-24T07:18:27.000Z,"Garnett Tremblay",75550148,8,"out/Group Conversation 2/2017-03-04T07_18_27 Group Conversation 2.html",5492,1081676
+18605550137,2017-03-04T07:18:27.000Z,2017-03-24T07:18:27.000Z,,,,"out/Group Conversation 2/2017-03-04T07_18_27 Group Conversation 2.html",5492,1081676
+17175550148,2020-03-24T07:18:27.000Z,2020-03-24T07:18:27.000Z,"Garnett Tremblay",75550148,8,"out/Group Conversation 3/2020-03-24T07_18_27 Group Conversation 3.html",4442,540838
+18605550137,2020-03-24T07:18:27.000Z,2020-03-24T07:18:27.000Z,,,,"out/Group Conversation 3/2020-03-24T07_18_27 Group Conversation 3.html",4442,540838
john@example.com,2020-03-24T07:18:27.000Z,2020-03-24T07:18:27.000Z,,,,"out/Group Conversation 3/2020-03-24T07_18_27 Group Conversation 3.html",4442,540838
