phone number (html),phone number (vcf),match length,name
+17175550148,75550148,8,Garnett Tremblay
174074978,+19174074978,9,Candice Cremin
+12025550130,+12025550130,12,Charity Murray
+12025550149,+12025550149,12,Jesse Hilll
+13035550192,+13035550192,12,Anne Hartmann
+15185550143,+15185550143,12,Lloyd Gusikowski
+17015550147,7015550147,10,Damian Monahan
+17015550194,+17015550194,12,Mariela Roberts
+14045550167,+14045550167,12,Angie Mueller IV
+14105550126,+14105550126,12,Cheyanne Auer
+15155550117,+15155550117,12,Beatrice Ruecker
+18035550193,+18035550193,12,John Doe
+18435550199,+18435550199,12,Royal Jones
