phone number (html),first date,last date,name (vcf),phone number (vcf),match length,path,file size,media size
174074978,2021-03-31T20:32:17.000Z,2021-03-31T20:32:17.000Z,"Candice Cremin",+19174074978,9,"out/174074978/2021-03-31T21_32_17 174074978.html",3318,0
+00000000000,2011-10-27T22:07:36.000Z,2012-03-17T18:16:32.000Z,,,,"out/+00000000000/2012-03-17T18_16_32 +00000000000.html",9298,1528352
+12025550130,2021-12-11T18:20:31.000Z,2021-12-11T18:20:31.619Z,"Charity Murray",+12025550130,12,"out/+12025550130/2021-12-11T18_20_31 +12025550130.html",3400,0
+12025550149,2020-07-08T23:30:11.000Z,2020-07-08T23:44:30.519Z,"Jesse Hilll",+12025550149,12,"out/+12025550149/2020-07-09T00_44_30 +12025550149.html",3680,943970
+13035550192,2019-11-05T11:34:23.000Z,2019-11-05T11:34:55.786Z,"Anne Hartmann's Shop",+13035550192,12,"out/+13035550192/2019-11-05T11_34_55 +13035550192.html",3684,645
+14016660192,2018-04-01T16:28:19.000Z,2018-04-01T16:28:19.000Z,,,,"out/+14016660192/2018-04-01T17_28_19 +14016660192.html",3391,0
+14045550102,2019-03-01T16:28:19.000Z,2021-05-04T21:43:05.000Z,,,,"out/+14045550102/2021-05-04T21_43_05 +14045550102.html",4767,54246
+14065550172,2020-10-27T04:45:56.000Z,2020-10-27T04:45:56.000Z,,,,"out/+14065550172/2020-10-27T04_45_56 +14065550172.html",3323,0
+15185550143,2020-08-22T13:19:57.000Z,2020-08-22T13:19:57.565Z,"Lloyd Gusikowski",+15185550143,12,"out/+15185550143/2020-08-22T14_19_57 +15185550143.html",3381,1320677
+16055550153,2022-03-09T08:13:29.000Z,2022-03-09T08:15:28.150Z,,,,"out/+16055550153/2022-03-09T08_15_28 +16055550153.html",4569,3140048
+17015550147,2022-03-09T08:00:32.000Z,2022-03-09T08:03:00.000Z,"Damian Monahan",7015550147,10,"out/+17015550147/2022-03-09T08_03_00 +17015550147.html",6073,2069190
+17015550194,2021-12-11T18:20:31.000Z,2021-12-11T18:20:31.619Z,"Mariela Roberts",+17015550194,12,"out/+17015550194/2021-12-11T18_20_31 +17015550194.html",3401,0
